	F3D0	F3D1	F3D141	F3D142	F3D143	F3D144	F3D145	F3D146	F3D147	F3D148	F3D149	F3D150	F3D2	F3D3	F3D5	F3D6	F3D7	F3D8	F3D9	Mock
ASV 1 _	552	378	425	275	214	388	610	309	1413	804	830	300	3292	944	300	962	606	255	482	0
ASV 2 _	320	335	340	281	166	251	458	220	1130	678	732	219	1480	561	253	632	487	330	398	0
ASV 3 _	421	211	326	150	188	282	479	233	861	546	680	377	1107	436	265	547	395	327	455	0
ASV 4 _	402	65	460	156	220	329	538	372	1016	797	833	437	439	188	150	373	291	132	190	0
ASV 5 _	148	125	176	161	120	91	277	158	422	405	383	167	312	374	144	440	424	528	550	0
ASV 6 _	451	40	315	171	228	331	446	264	1094	809	603	201	110	24	20	17	9	0	0	0
ASV 7 _	270	92	234	146	141	219	373	200	803	541	530	226	310	162	113	261	184	127	195	0
ASV 8 _	164	177	298	77	72	36	112	66	66	468	457	108	1087	337	180	236	191	258	397	0
ASV 9 _	42	65	158	88	104	144	178	103	722	391	402	225	413	292	166	186	161	105	134	0
ASV 10 _	144	95	122	70	64	145	218	84	249	186	266	148	586	274	204	228	257	183	213	0
ASV 11 _	202	38	137	91	104	135	238	137	520	404	279	92	38	0	0	0	0	0	0	0
ASV 12 _	44	112	10	89	40	15	18	4	134	17	78	59	300	86	44	383	104	132	170	0
ASV 13 _	98	25	61	59	55	76	110	53	267	185	146	74	101	60	38	103	65	55	68	0
ASV 14 _	85	294	33	11	10	10	14	25	66	53	41	18	347	46	83	52	38	42	94	0
ASV 15 _	76	0	96	51	38	111	119	34	293	253	169	29	17	23	32	0	0	5	0	0
ASV 16 _	6	43	66	24	31	116	133	66	191	170	190	34	16	65	26	17	7	0	13	49
ASV 17 _	92	0	141	108	0	0	186	0	231	239	77	0	63	0	50	0	0	0	0	0
ASV 18 _	66	29	43	27	16	43	99	32	131	111	112	47	182	95	37	36	21	21	36	0
ASV 19 _	60	99	6	5	0	5	5	3	39	53	4	5	378	334	13	69	38	18	40	0
ASV 20 _	58	0	0	0	0	0	116	73	320	268	219	0	40	0	19	10	9	0	0	0
ASV 21 _	35	41	39	0	9	40	31	15	126	99	125	16	27	108	8	25	31	96	20	0
ASV 22 _	39	14	78	32	60	13	12	74	73	92	251	129	17	0	0	0	0	0	0	0
ASV 23 _	50	129	15	6	0	0	8	42	11	51	18	20	283	0	53	36	29	28	45	0
ASV 24 _	67	67	0	0	0	0	5	18	9	12	8	6	316	40	50	64	13	52	43	0
ASV 25 _	24	6	55	14	0	11	19	15	97	176	94	50	30	22	24	24	46	19	34	0
ASV 26 _	69	91	0	0	0	0	5	35	34	8	6	6	185	12	49	101	45	37	49	0
ASV 27 _	42	109	34	0	4	9	9	33	15	21	32	16	103	7	45	18	7	46	91	0
ASV 28 _	27	42	9	0	14	17	17	34	31	13	44	31	141	18	45	43	13	41	60	0
ASV 29 _	56	25	12	0	20	0	0	0	48	48	41	32	54	21	70	38	32	55	49	0
ASV 30 _	55	132	0	0	0	0	0	0	0	0	0	0	263	18	30	33	0	0	52	0
ASV 31 _	67	68	20	11	13	15	11	20	10	9	40	30	76	7	39	45	7	28	38	0
ASV 32 _	24	26	54	8	21	9	17	21	43	41	130	72	35	9	0	20	0	8	14	0
ASV 33 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	540
ASV 34 _	32	92	0	0	0	0	0	0	0	0	0	0	172	8	16	20	9	64	91	0
ASV 35 _	153	37	29	9	0	10	0	9	33	10	25	0	84	16	22	23	0	24	15	0
ASV 36 _	41	50	0	4	0	0	0	0	23	0	11	0	104	0	43	50	18	54	91	0
ASV 37 _	48	48	19	0	0	15	15	24	22	15	51	23	52	19	20	42	0	42	31	0
ASV 38 _	5	14	27	0	11	17	15	12	41	18	55	46	86	16	32	27	8	21	31	0
ASV 39 _	26	30	25	11	14	0	0	29	41	49	86	28	40	0	10	27	11	5	15	0
ASV 40 _	15	20	13	7	10	0	6	22	32	19	40	33	75	7	16	19	8	21	30	0
ASV 41 _	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	381
ASV 42 _	28	69	0	0	0	0	0	0	0	0	0	0	75	13	31	48	22	33	59	0
ASV 43 _	0	71	7	0	0	0	0	10	11	15	31	15	54	10	50	22	8	16	28	0
ASV 44 _	46	56	16	0	4	0	0	20	9	12	42	20	80	26	6	0	0	9	0	0
ASV 45 _	9	17	0	0	0	0	0	0	12	0	21	0	73	19	33	35	30	40	53	0
ASV 46 _	8	19	19	0	14	0	0	13	38	34	62	18	69	0	6	7	7	11	16	0
ASV 47 _	31	43	0	0	0	0	0	0	11	0	7	0	141	6	9	42	11	13	22	0
ASV 48 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336
ASV 49 _	41	48	0	0	0	0	0	0	0	0	0	0	133	10	10	22	8	40	23	0
ASV 50 _	46	41	0	0	0	0	0	0	0	0	8	0	96	0	51	10	0	35	37	0
ASV 51 _	0	11	6	7	7	7	18	5	33	13	10	8	53	41	5	21	26	20	24	0
ASV 52 _	0	0	17	8	0	21	13	35	80	61	41	39	0	0	0	0	0	0	0	0
ASV 53 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311
ASV 54 _	12	21	0	0	0	0	0	0	18	0	0	0	41	0	21	29	18	51	98	0
ASV 55 _	78	45	0	0	0	0	3	0	26	0	0	0	78	15	0	5	18	10	29	0
ASV 56 _	17	34	27	0	0	0	0	14	26	22	24	14	45	0	16	21	0	20	23	0
ASV 57 _	0	0	28	23	24	16	18	5	54	88	34	12	0	0	0	0	0	0	0	0
ASV 58 _	0	0	48	9	25	29	34	69	29	8	0	0	0	0	0	9	0	17	22	0
ASV 59 _	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	285
ASV 60 _	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	271
ASV 61 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272
ASV 62 _	0	33	5	0	5	0	9	11	0	10	13	12	73	9	14	13	0	29	26	0
ASV 63 _	14	20	29	0	26	0	8	22	11	33	19	22	0	0	15	0	7	13	21	0
ASV 64 _	19	19	13	0	4	0	4	13	13	17	52	22	41	5	6	9	0	11	0	0
ASV 65 _	22	0	15	27	9	20	6	2	25	63	25	16	4	13	0	0	0	0	0	0
ASV 66 _	50	51	0	0	0	0	0	0	0	0	0	0	58	7	24	37	17	0	0	0
ASV 67 _	15	43	0	0	0	0	0	0	0	0	0	0	69	0	22	30	0	29	18	0
ASV 68 _	43	36	0	0	0	0	0	17	19	0	0	0	34	0	0	48	0	0	27	0
ASV 69 _	0	0	41	0	20	0	0	10	18	17	77	40	0	0	0	0	0	0	0	0
ASV 70 _	0	9	15	0	13	0	0	12	0	14	64	18	28	9	0	14	8	7	11	0
ASV 71 _	126	0	6	4	0	6	14	0	17	31	11	6	0	0	0	0	0	0	0	0
ASV 72 _	0	0	28	0	15	0	0	9	24	21	69	50	0	0	0	0	0	0	0	0
ASV 73 _	28	16	6	0	7	8	6	8	13	14	25	10	27	0	11	14	0	5	8	0
ASV 74 _	39	36	0	0	0	0	0	0	7	0	16	0	88	16	0	0	0	0	0	0
ASV 75 _	0	11	0	0	0	0	5	12	0	0	8	4	16	20	11	27	13	33	42	0
ASV 76 _	5	17	9	0	8	0	0	10	39	7	22	11	12	7	9	12	7	12	12	0
ASV 77 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
ASV 78 _	0	15	6	0	0	0	9	19	17	5	12	12	33	0	11	16	5	12	22	0
ASV 79 _	81	12	21	0	16	0	0	0	0	0	0	0	32	0	0	0	0	16	15	0
ASV 80 _	10	9	0	0	0	0	0	0	59	16	21	0	15	0	8	35	0	6	12	0
ASV 81 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191
ASV 82 _	0	0	0	11	11	0	0	12	33	7	0	24	0	0	0	0	0	37	55	0
ASV 83 _	14	0	0	0	0	0	0	0	10	20	16	0	27	0	21	17	10	17	36	0
ASV 84 _	6	11	9	12	11	0	15	0	34	20	14	0	23	0	5	10	0	8	6	0
ASV 85 _	24	11	0	0	0	0	0	13	8	0	0	0	43	0	12	29	0	17	24	0
ASV 86 _	15	0	0	0	11	0	9	0	22	11	0	0	39	0	13	10	0	15	27	0
ASV 87 _	23	3	14	0	0	0	0	3	8	13	0	0	30	16	10	9	17	7	14	0
ASV 88 _	0	0	0	0	0	0	17	0	0	35	0	0	32	0	48	34	0	0	0	0
ASV 89 _	0	29	5	0	3	0	3	0	15	16	6	0	5	13	16	15	18	13	7	0
ASV 90 _	0	2	0	0	0	0	0	0	4	0	0	0	5	0	3	0	2	3	0	145
ASV 91 _	0	0	0	0	0	0	0	33	19	14	11	0	0	0	0	0	6	44	37	0
ASV 92 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164
ASV 93 _	0	39	0	0	0	0	0	0	0	0	0	0	73	0	0	0	6	33	0	0
ASV 94 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143
ASV 95 _	33	36	0	0	0	0	0	0	0	0	0	0	46	10	15	0	0	0	0	0
ASV 96 _	5	0	13	4	0	0	10	12	0	21	30	26	9	0	9	0	0	0	0	0
ASV 97 _	0	0	10	6	0	0	0	12	14	15	60	22	0	0	0	0	0	0	0	0
ASV 98 _	0	0	0	0	0	0	0	0	62	0	27	0	50	0	0	0	0	0	0	0
ASV 99 _	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135
ASV 100 _	0	4	8	0	0	3	5	12	11	8	22	10	18	6	6	6	0	7	8	0
ASV 101 _	0	0	9	0	6	10	11	13	0	20	38	12	0	0	0	10	0	0	0	0
ASV 102 _	0	14	0	15	0	14	0	22	0	0	14	12	36	0	0	0	0	0	0	0
ASV 103 _	0	0	19	0	6	6	0	15	29	13	0	8	23	0	0	0	0	0	0	0
ASV 104 _	0	0	6	0	0	0	4	0	0	0	0	12	0	0	38	26	0	0	30	0
ASV 105 _	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	109
ASV 106 _	20	0	0	0	0	0	0	0	0	0	5	0	16	0	0	23	0	14	24	0
